time,obs
12549,175.14
12549,174.87
12548,174.42
12548,174.41
12547,174.5
12547,174.45
12546,174.82
12546,175.99
12545,177.09
12545,177.49
12544,177.73
12544,178.36
12544,178.8
12543,178.49
12543,178.27
12542,178.61
12542,178.35
12541,177.1
12541,175.87
12540,175.48
12540,174.91
12539,174.5
12539,174.42
12538,174.74
12538,175.05
12537,175.12
12537,174.49
12537,173.73
12536,173.46
12536,173.32
12535,173.4
12535,173.39
12534,173.38
12534,173.05
12533,173.04
12533,173.05
12532,174.16
12532,175.04
12531,174.76
12531,174.27
12531,174.14
12530,173.93
12530,173.68
12529,173.62
12529,173.28
12528,172.6
12528,171.7
12527,171.56
12527,172.48
12526,173.51
12526,173.38
12525,173.32
12525,173.06
12524,173.13
12524,173.17
12524,173.16
12523,173.25
12523,173.32
12522,172.92
12522,172.42
12521,172.37
12521,172.99
12520,173.99
12520,174.05
12519,173.82
12519,174
12518,173.59
12518,173.21
12518,173.05
12517,173.18
12517,173.27
12516,173.09
12516,172.76
12515,172.81
12515,173.33
12514,173.9
12514,174.48
12513,174.79
12513,174.9
12512,175.01
12512,175.07
12511,174.86
12511,175.06
12511,175.65
12510,175.77
12510,175.54
12509,175.34
12509,175.18
12508,175.41
12508,175.31
12507,174.97
12507,173.99
12506,173.49
12506,172.92
12505,172.39
12505,172.54
12504,172.92
12504,173.05
12504,173.16
12503,173.19
12503,173.84
12502,174.64
12502,175.67
12501,176.4
12501,177.06
12500,177.47
12500,177.76
12499,177.89
12499,177.79
12498,177.56
12498,177.39
12498,177.19
12497,176.65
12497,176.38
12496,175.94
12496,175.24
12495,174.75
12495,174.26
12494,173.86
12494,173.25
12493,172.66
12493,172.18
12492,171.56
12492,171.22
12491,171.42
12491,171.46
12491,172.13
12490,172.75
12490,173.19
12489,173.73
12489,173.93
12488,173.88
12488,174.25
12487,173.94
12487,173.23
12486,172.56
12486,171.58
12485,171.6
12485,171.75
12485,172.19
12484,172.8
12484,173.05
12483,172.78
12483,173.64
12482,174.81
12482,175.3
12481,175.18
12481,174.83
12480,174.71
12480,174.75
12479,174.8
12479,175.17
12478,175.98
12478,175.49
12478,174.9
12477,174.86
12477,175.15
12476,175.12
12476,174.9
12475,174.39
12475,173.99
12474,173.86
12474,173.8
12473,173.54
12473,173.69
12472,174.51
12472,175.11
12472,175.3
12471,175.22
12471,174.81
12470,174.71
12470,174.91
12469,174.95
12469,174.47
12468,173.35
12468,172.25
12467,171.58
12467,171.19
12466,171.34
12466,171.84
12465,172.41
12465,172.73
12465,172.81
12464,173.27
12464,173.82
12463,174.18
12463,174.46
12462,175.18
12462,175.58
12461,175.61
12461,175.72
12460,175.95
12460,176.25
12459,176.49
12459,177.09
12458,176.87
12458,176.89
12458,176.51
12457,176.4
12457,176.17
12456,175.84
12456,175.44
12455,174.65
12455,174.17
12454,174.1
